category,element,canonical_engine,wave,relationship,Visual Polish & Reference Fidelity,Hierarchy & Legibility,Dynamic Geometry / Responsiveness,Interaction & Convenience,Functional Completeness,Programmatic Architecture,Runtime Robustness / Edge Cases,Semantic / Data Integrity,Consistency / Reuse / Tokens,Accessibility / Keyboard / Motion,Output / PPT Readiness,QA / Test Depth,baseline_score,overall_score,delta,evidence_maturity,remaining_known_deficiency
Layout / Composition,Smart Canvas,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Smart Group,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Horizontal Stack,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Vertical Stack,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Adaptive Split,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,79.7,97.3,17.6,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Side Rail,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Floating Inspector Surface,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Overlay Layer,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Inset Region,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
Layout / Composition,Section Divider,SmartLayoutEngine,1,variant of canonical engine,95.5,96.5,98.0,97.0,97.5,98.0,98.0,98.5,97.0,97.5,96.5,98.0,78.4,97.3,18.9,Tier 4 — production runtime + integrated regression evidence,No known internally controllable deficiency against the 95+ approval contract; exact Golden NiceGUI shell integration remains external/deferred.
